-10676396549,4890770924
-10676648702,4890602562
-10676451193,4890176345
-10676430643,4890258478
-10676420649,4890247876
-10676376103,4890277773
-10676636063,4890451617
-10676426159,4890079551
-10676479787,4890266324
-10676600778,4890109627
-10676429600,4890256485
-10675996472,4888375949
-10676428755,4890254730
-10676422762,4890250731
-10676394439,4890335439
-10675963896,4889933916
-10676411355,4890591676
2324210367,1799406350
2325414451,1795266151
2324057011,1799348330
2324066249,1799356366
2326254449,1799042050
2324055771,1799192065
2324932495,1799679021
2328330314,1804038985
2323842482,1799012121
2320912601,1795465015
2320442674,1800274200
2336055377,1798725218
2325063085,1799165665
2323800726,1799615472
2324010524,1799325398
2324084727,1799294543
2323942585,1799518412
2324061656,1799295531
-2131425368,4605785834
-2131409974,4605799313
-2131411508,4605792550
-2131372292,4605822765
-2131405718,4605803176
-2131414352,4605803391
-2131385709,4605805442
-2131411325,4605803773
-2131415713,4605781072
1129982031,-1197608570
1131118928,-1194745233
1128779447,-1198888753
1133404982,-1198078131
1129978971,-1197618613
1129956415,-1197806589
1129970409,-1197614485
1129981039,-1197608815
1129967352,-1197601033
1130022201,-1197600777
1129987345,-1197647206
1129959483,-1197636259
1131035878,-1197912167
1129970682,-1197604545
1129967762,-1197579617
1129923237,-1197269283
15072692441,-4594117361
15072236670,-4593668652
15072322199,-4593932809
15072394834,-4593807732
15072403440,-4594205124
15072945886,-4594014312
15072320368,-4593936062
15072332051,-4593961231
15072315403,-4593929178
15072579069,-4594894763
15072248437,-4594080570
-1681495653,-5856382191
-1679407570,-5859605005
-1681546618,-5856259849
-1681469484,-5856260175
-1681471465,-5856281144
-1681593314,-5856416890
-1681414665,-5856277452
-1681554899,-5856177462
-1682016968,-5853951917
-1681528800,-5853315595
-1681470155,-5856265657
-1680969179,-5856532783
-1681453793,-5856235144
-1681490253,-5856265830
-1681497958,-5856280023
-1681280721,-5856349312
-1681383784,-5856213738
-1682075650,-5855910304
-1681414574,-5856246288
11037440208,-1900022266
11037594897,-1899324712
11037937301,-1899181032
11037591844,-1899349070
11037583183,-1899314329
11037606181,-1899309885
11037589713,-1899281652
11037136313,-1898229911
11037588114,-1899323542
11037371754,-1899077648
11037689715,-1899357231
11037587427,-1899325191
11037281390,-1899762827
11037602744,-1899327026
11038197167,-1899368224
11037284061,-1899525790
11038093318,-1899235081
11037591089,-1899333776
11038820755,-1898758130
595150800,660274541
595159077,660287437
595146277,660283868
594396508,657510615
595131064,660266535
594394233,659416781
595614360,660492598
595651032,659723468
595151609,660328409
594131134,659980732
595143252,660280319
595143368,660276699
594981040,660321300
